,0,1,2,3,4,5,6
Type of prediction,candidate_essential_PROM,evidence_esential_PROM_correct,evidence_esential_PROM_incorrect,non_esential_PROM_correct,Totales,Total escenciales,Nuevos escenciales
diff_f_DeJesus_ei437 Positivo,6,4,0,12,22,32,22
diff_f_DeJesus_ei437 Negativo,0,1,1,6,8,-,-
diff_f_Griffin_ei437 Positivo,6,4,0,11,21,30,20
diff_f_Griffin_ei437 Negativo,0,1,1,7,9,-,-
diff_f_m7H10_ei437 Positivo,6,4,0,14,24,28,18
diff_f_m7H10_ei437 Negativo,0,1,1,4,6,-,-
diff_f_DeJesus_eic Positivo,6,4,0,11,21,31,21
diff_f_DeJesus_eic Negativo,0,1,1,7,9,-,-
diff_f_Griffin_eic Positivo,6,4,0,11,21,31,21
diff_f_Griffin_eic Negativo,0,1,1,7,9,-,-
diff_f_m7H10_eic Positivo,6,4,0,13,23,28,18
diff_f_m7H10_eic Negativo,0,1,1,5,7,-,-
diff_f_DeJesus_si437 Positivo,6,4,0,14,24,22,12
diff_f_DeJesus_si437 Negativo,0,1,1,4,6,-,-
diff_f_Griffin_si437 Positivo,6,4,0,13,23,23,13
diff_f_Griffin_si437 Negativo,0,1,1,5,7,-,-
diff_f_m7H10_si437 Positivo,6,4,0,15,25,20,10
diff_f_m7H10_si437 Negativo,0,1,1,3,5,-,-
diff_f_DeJesus_sic Positivo,6,4,0,14,24,22,12
diff_f_DeJesus_sic Negativo,0,1,1,4,6,-,-
diff_f_Griffin_sic Positivo,6,4,0,13,23,23,13
diff_f_Griffin_sic Negativo,0,1,1,5,7,-,-
diff_f_m7H10_sic Positivo,5,4,0,14,23,21,12
diff_f_m7H10_sic Negativo,1,1,1,4,7,-,-
