paper,Sassetti 2003 in vivo,Lamichhane 2003,Sassetti 2003 in vitro,Rubin 2012
Rv1963c,-,-,Essential,-
Rv0001,-,-,Essential,Essential
Rv1475c,-,-,Essential,Essential
Rv2017,-,-,-,Essential
Rv3003c,-,-,Essential,Essential
Rv0602c,-,-,Non-essential,Non-essential
Rv1287,-,-,Non-essential,Non-essential
Rv1379,-,-,-,Non-essential
Rv1395,-,-,-,Non-essential
Rv2166c,-,-,Essential,Non-essential
Rv3279c,-,-,Non-essential,Non-essential
Rv3328c,-,-,Non-essential,Non-essential
Rv3246c,Essential,-,-,Essential
Rv1931c,Essential,-,Non-essential,Non-essential
Rv2359,Essential,-,Non-essential,Non-essential
Rv1359,Non-essential,-,Non-essential,-
Rv2034,Non-essential,-,Non-essential,-
Rv3002c,Non-essential,-,Essential,-
Rv2720,Non-essential,-,Non-essential,Essential
Rv0212c,Non-essential,-,Non-essential,Non-essential
Rv0348,Non-essential,-,Non-essential,Non-essential
Rv0353,Non-essential,-,Non-essential,Non-essential
Rv0445c,Non-essential,-,Non-essential,Non-essential
Rv0465c,Non-essential,-,-,Non-essential
Rv0494,Non-essential,-,Non-essential,Non-essential
Rv0576,Non-essential,-,Non-essential,Non-essential
Rv0586,Non-essential,-,Non-essential,Non-essential
Rv0757,Non-essential,-,Non-essential,Non-essential
Rv0792c,Non-essential,-,Non-essential,Non-essential
Rv0818,Non-essential,-,Non-essential,Non-essential
Rv0981,Non-essential,-,Non-essential,Non-essential
Rv1027c,Non-essential,-,Essential,Non-essential
Rv1221,Non-essential,-,Non-essential,Non-essential
Rv1316c,Non-essential,-,Non-essential,Non-essential
Rv1657,Non-essential,-,Non-essential,Non-essential
Rv1675c,Non-essential,-,Non-essential,Non-essential
Rv1846c,Non-essential,-,Non-essential,Non-essential
Rv1994c,Non-essential,-,Non-essential,Non-essential
Rv2175c,Non-essential,-,Non-essential,Non-essential
Rv2213,Non-essential,-,Non-essential,Non-essential
Rv2704,Non-essential,-,Non-essential,Non-essential
Rv2710,Non-essential,-,Essential,Non-essential
Rv2711,Non-essential,-,-,Non-essential
Rv2718c,Non-essential,-,Non-essential,Non-essential
Rv2745c,Non-essential,-,Non-essential,Non-essential
Rv2788,Non-essential,-,Non-essential,Non-essential
Rv3080c,Non-essential,-,-,Non-essential
Rv3133c,Non-essential,-,Non-essential,Non-essential
Rv3164c,Non-essential,-,Non-essential,Non-essential
Rv3223c,Non-essential,-,Non-essential,Non-essential
Rv3286c,Non-essential,-,Non-essential,Non-essential
Rv3291c,Non-essential,-,Non-essential,Non-essential
Rv3416,Non-essential,-,Non-essential,Non-essential
Rv3557c,Non-essential,-,Non-essential,Non-essential
Rv3575c,Non-essential,-,Non-essential,Non-essential
Rv3676,Non-essential,-,Non-essential,Non-essential
Rv3678c,Non-essential,-,Non-essential,Non-essential
Rv3681c,Non-essential,-,Non-essential,Non-essential
Rv3744,Non-essential,-,Non-essential,Non-essential
Rv3692,-,Non-essential,Non-essential,Non-essential
Rv3849,-,Non-essential,Non-essential,Non-essential
Rv2374c,Essential,Non-essential,Non-essential,Non-essential
Rv3574,Essential,Non-essential,Non-essential,Non-essential
Rv0260c,Non-essential,Non-essential,Non-essential,-
Rv3082c,Non-essential,Non-essential,Non-essential,-
Rv0117,Non-essential,Non-essential,Non-essential,Non-essential
Rv0182c,Non-essential,Non-essential,Non-essential,Non-essential
Rv0485,Non-essential,Non-essential,Non-essential,Non-essential
Rv0491,Non-essential,Non-essential,Non-essential,Non-essential
Rv0823c,Non-essential,Non-essential,Non-essential,Non-essential
Rv0844c,Non-essential,Non-essential,Non-essential,Non-essential
Rv1033c,Non-essential,Non-essential,Non-essential,Non-essential
Rv1267c,Non-essential,Non-essential,Non-essential,Non-essential
Rv1785c,Non-essential,Non-essential,Non-essential,Non-essential
Rv1909c,Non-essential,Non-essential,Non-essential,Non-essential
Rv1956,Non-essential,Non-essential,Non-essential,Non-essential
Rv1985c,Non-essential,Non-essential,-,Non-essential
Rv2021c,Non-essential,Non-essential,Non-essential,Non-essential
Rv2069,Non-essential,Non-essential,Non-essential,Non-essential
Rv3334,Non-essential,Non-essential,Non-essential,Non-essential
Rv3414c,Non-essential,Non-essential,Non-essential,Non-essential
Rv3911,Non-essential,Non-essential,Non-essential,Non-essential
