z_regulator,z_targets,probtfgene
Rv0001,Rv3396c,0.590361445783133
Rv0001,Rv3411c,0.542168674698795
Rv0117,Rv1908c,1
Rv0117,Rv3913,1
Rv0212c,Rv0573c,0.881578947368421
Rv0212c,Rv1595,1
Rv0353,Rv0252,1
Rv0485,Rv1018c,0.805825242718447
Rv0485,Rv1692,1
Rv0485,Rv3332,0.766990291262136
Rv0485,Rv3436c,1
Rv0491,Rv0073,1
Rv0491,Rv0820,0.530487804878049
Rv0491,Rv0930,1
Rv0491,Rv0934,1
Rv0491,Rv0935,0.231707317073171
Rv0491,Rv1281c,0.567073170731707
Rv0586,Rv0860,1
Rv0586,Rv1074c,0.581081081081081
Rv1027c,Rv1029,0.568965517241379
Rv1027c,Rv1030,0.913793103448276
Rv1027c,Rv1031,0.586206896551724
Rv1221,Rv0252,1
Rv1221,Rv0467,0.655737704918033
Rv1221,Rv0468,1
Rv1221,Rv1071c,1
Rv1221,Rv1127c,1
Rv1221,Rv1130,1
Rv1221,Rv2443,1
Rv1267c,Rv3793,1
Rv1267c,Rv3794,0.464646464646465
Rv1267c,Rv3795,1
Rv1316c,Rv0672,0.291666666666667
Rv1657,Rv1383,1
Rv1657,Rv1652,0.689320388349515
Rv1657,Rv1654,0.679611650485437
Rv1657,Rv1655,1
Rv1657,Rv1656,0.679611650485437
Rv1657,Rv1659,0.563106796116505
Rv1657,Rv1384,1
Rv1785c,Rv0252,1
Rv1785c,Rv0253,1
Rv1785c,Rv0467,1
Rv1785c,Rv1127c,1
Rv1785c,Rv1436,1
Rv1785c,Rv1437,1
Rv1785c,Rv1617,1
Rv1785c,Rv2847c,1
Rv1785c,Rv2995c,1
Rv1931c,Rv1098c,0.620320855614973
Rv1931c,Rv1447c,1
Rv1931c,Rv3846,0.486631016042781
Rv2069,Rv0231,0.240837696335079
Rv2069,Rv0951,0.460732984293194
Rv2069,Rv1731,0.549738219895288
Rv2069,Rv3068c,0.764397905759162
Rv2069,Rv3314c,0.743455497382199
Rv2359,Rv1857,0.671428571428571
Rv2359,Rv1928c,0.828571428571429
Rv2359,Rv2059,1
Rv2359,Rv2060,1
Rv2359,Rv2384,1
Rv2359,Rv3215,1
Rv2359,Rv3229c,1
Rv2359,Rv3846,0.614285714285714
Rv2711,Rv0114,1
Rv2711,Rv0482,0.823529411764706
Rv2711,Rv0524,1
Rv2711,Rv1106c,0.5
Rv2711,Rv1347c,1
Rv2711,Rv1348,1
Rv2711,Rv1935c,1
Rv2711,Rv2122c,1
Rv2711,Rv2383c,1
Rv2711,Rv2384,1
Rv2711,Rv2386c,1
Rv2711,Rv3838c,1
Rv3080c,Rv1235,0.433734939759036
Rv3080c,Rv1237,1
Rv3080c,Rv1238,1
Rv3080c,Rv1328,0.36144578313253
Rv3133c,Rv1737c,1
Rv3133c,Rv2006,1
Rv3133c,Rv3130c,0.474226804123711
Rv3223c,Rv0252,0.78
Rv3223c,Rv1334,0.72
Rv3223c,Rv2467,1
Rv3223c,Rv3206c,1
Rv3223c,Rv3913,1
Rv3279c,Rv1568,1
Rv3279c,Rv1589,1
Rv3286c,Rv1092c,0.816176470588235
Rv3291c,Rv0032,0.43125
Rv3291c,Rv0069c,1
Rv3291c,Rv0189c,0.61875
Rv3291c,Rv0672,0.525
Rv3291c,Rv0884c,1
Rv3291c,Rv1281c,0.28125
Rv3291c,Rv1282c,0.36875
Rv3291c,Rv1559,1
Rv3291c,Rv1826,0.2125
Rv3291c,Rv1832,0.8
Rv3291c,Rv2210c,0.8875
Rv3291c,Rv2211c,0.4125
Rv3291c,Rv2564,0.15625
Rv3291c,Rv2987c,1
Rv3291c,Rv2988c,1
Rv3291c,Rv2995c,1
Rv3291c,Rv2996c,0.24375
Rv3291c,Rv3002c,1
Rv3291c,Rv3003c,0.5
Rv3291c,Rv3710,0.99375
Rv3291c,Rv3858c,1
Rv3291c,Rv3859c,1
Rv3574,Rv0223c,1
Rv3574,Rv0551c,1
Rv3574,Rv1894c,0.608108108108108
Rv3574,Rv3494c,1
Rv3574,Rv3495c,0.72972972972973
Rv3574,Rv3496c,1
Rv3574,Rv3497c,0.689189189189189
Rv3574,Rv3498c,1
Rv3574,Rv3499c,1
Rv3574,Rv3500c,1
Rv3574,Rv3501c,0.608108108108108
Rv3574,Rv3502c,0.851351351351351
Rv3574,Rv3515c,0.756756756756757
Rv3574,Rv3516,0.743243243243243
Rv3574,Rv3518c,1
Rv3574,Rv3526,0.918918918918919
Rv3574,Rv3529c,1
Rv3574,Rv3534c,1
Rv3574,Rv3535c,0.27027027027027
Rv3574,Rv3536c,0.945945945945946
Rv3574,Rv3540c,0.608108108108108
Rv3574,Rv3541c,0.972972972972973
Rv3574,Rv3543c,1
Rv3574,Rv3544c,0.608108108108108
Rv3574,Rv3545c,1
Rv3574,Rv3567c,1
Rv3574,Rv3568c,0.527027027027027
Rv3574,Rv3569c,0.972972972972973
Rv3574,Rv3570c,0.783783783783784
Rv3574,Rv3571,1
Rv3574,Rv3573c,0.824324324324324
Rv3575c,Rv0070c,1
Rv3575c,Rv0772,1
Rv3575c,Rv0777,0.59214501510574
Rv3575c,Rv0780,1
Rv3575c,Rv0803,1
Rv3575c,Rv0808,0.758308157099698
Rv3575c,Rv0809,1
Rv3575c,Rv0956,0.525679758308157
