z_regulator,z_targets,probtfgene
Rv0001,Rv3396c,0.776280323450135
Rv0001,Rv3411c,0.816711590296496
Rv0117,Rv1908c,1
Rv0117,Rv3913,1
Rv0212c,Rv0573c,1
Rv0212c,Rv1595,0.671981776765376
Rv0353,Rv0252,0.591666666666667
Rv0485,Rv1018c,0.689265536723164
Rv0485,Rv1692,0.644067796610169
Rv0485,Rv3332,0.69774011299435
Rv0485,Rv3436c,1
Rv0491,Rv0073,1
Rv0491,Rv0820,0.564459930313589
Rv0491,Rv0930,1
Rv0491,Rv0934,1
Rv0491,Rv0935,1
Rv0491,Rv1281c,1
Rv0586,Rv0860,1
Rv0586,Rv1074c,1
Rv1027c,Rv1029,0.530651340996169
Rv1027c,Rv1030,1
Rv1027c,Rv1031,0.60536398467433
Rv1221,Rv0252,0.565965583173996
Rv1221,Rv0467,0.560229445506692
Rv1221,Rv0468,0.583173996175908
Rv1221,Rv1071c,1
Rv1221,Rv1127c,0.759082217973231
Rv1221,Rv1130,0.55640535372849
Rv1221,Rv2443,1
Rv1267c,Rv3793,1
Rv1267c,Rv3794,0.801608579088472
Rv1267c,Rv3795,1
Rv1316c,Rv0672,0.670702179176755
Rv1657,Rv1383,1
Rv1657,Rv1652,0.479057591623037
Rv1657,Rv1654,0.570680628272251
Rv1657,Rv1655,0.636125654450262
Rv1657,Rv1656,0.50261780104712
Rv1657,Rv1659,0.450261780104712
Rv1657,Rv1384,1
Rv1785c,Rv0252,1
Rv1785c,Rv0253,0.674050632911392
Rv1785c,Rv0467,1
Rv1785c,Rv1127c,1
Rv1785c,Rv1436,0.724683544303797
Rv1785c,Rv1437,0.731012658227848
Rv1785c,Rv1617,0.79746835443038
Rv1785c,Rv2847c,1
Rv1785c,Rv2995c,1
Rv1931c,Rv1098c,0.858381502890173
Rv1931c,Rv1447c,0.676300578034682
Rv1931c,Rv3846,0.739884393063584
Rv2069,Rv0231,0.597315436241611
Rv2069,Rv0951,0.540268456375839
Rv2069,Rv1731,1
Rv2069,Rv3068c,0.748322147651007
