genes,grRateKO
Rv1295,0
Rv2573,1.88695911027789e-14
Rv3290c,0.0485323109645301
Rv2589,0.0485323109645301
Rv1323,0.0485323109645301
Rv3535c,0.0485323109645301
Rv0254c,0.0485323109645301
Rv3280,0
Rv0904c,0.0485323109645301
Rv3281,0
Rv3441c,0
Rv1302,0
Rv1654,0
Rv2747,0.0485323109645298
Rv1653,0
Rv0409,0.0485293212702039
Rv1820,0.0485323109645301
Rv3509c,0.0485323109645301
Rv3002c,0.0485323109645301
Rv3003c,0.0485323109645301
Rv3470c,0.0485323109645301
Rv2922A,0.0485323109645301
Rv1475c,0.0355502032832582
Rv1655,0
Rv3310,0.0485323109645301
Rv2523c,0.0485323109645301
Rv3667,0.0485323109645301
Rv3313c,0.0485323109645301
Rv0812,0
Rv2236c,0.0485323109645301
Rv1005c,0
Rv0013,0
Rv0255c,0.0485323109645301
Rv2848c,0.0485323109645301
Rv0733,3.58330444183732e-13
Rv1625c,0.0485323109645301
Rv2212,0.0485323109645301
Rv1900c,0.0485323109645301
Rv1264,0.0485323109645301
Rv1320c,0.0485323109645301
Rv1318c,0.0485323109645301
Rv1319c,0.0485323109645301
Rv3377c,0.0485323109645301
Rv2435c,0.0485323109645301
Rv1647,0.0485323109645301
Rv1120c,0.0485323109645301
Rv2202c,0.048493029396791
Rv2208,0.0485323109645301
Rv2584c,0.0485323109645301
Rv1285,2.20953242840662e-12
Rv1286,2.21224577489477e-12
Rv0777,-3.89316606426776e-15
Rv0357c,-1.27812558423556e-14
Rv3795,0
Rv3794,0
Rv3792,0
Rv3332,0.0485323109645301
Rv2182c,0.0485323109645301
Rv2483c,0.0485323109645301
Rv1652,0
Rv3248c,0
Rv0091,0.0485323109645301
Rv0423c,0
Rv0957,5.9466984640119e-15
Rv3276c,-2.12097628715321e-14
Rv3257c,0.0485323109645301
Rv3275c,-2.12097628715321e-14
Rv2215,0.0485323109645293
Rv3330,0.0485323109645301
Rv2981c,0
Rv2780,0.0485323109645301
Rv3423c,1.00169612574129e-29
Rv2259,0.0485323109645301
Rv1895,0.0485323109645301
Rv3045,0.0485323109645301
Rv2858c,0.0485323109645301
Rv0458,0.0485323109645301
Rv0768,0.0485323109645301
Rv0147,0.0485323109645301
Rv3293,0.0485323109645301
Rv1568,0.0485323109645301
Rv2363,0.0485323109645301
Rv2467,0.0485323109645301
Rv2192c,0
Rv1609,0
Rv1569,0.0485323109645301
Rv0032,0.0485323109645301
Rv2671,0.0485323109645301
Rv2531c,0.0485323109645301
Rv1001,0.0485323109645301
Rv1659,0
Rv1658,0
Rv2320c,0.0485323109645301
Rv3708c,0
Rv1538c,0.0485323109645301
Rv2201,0
Rv0346c,0.0485323109645301
Rv2127,0.0485323109645301
Rv3601c,1.88695911027789e-14
Rv1380,1.09077811208876e-28
Rv3709c,0
Rv1595,-5.71669254603434e-14
Rv3565,-7.02895170283301e-18
Rv0337c,-3.02717039455704e-13
Rv2121c,0
Rv1310,NaN
Rv1305,NaN
Rv1308,NaN
Rv1309,NaN
Rv1306,NaN
Rv1307,NaN
Rv1304,NaN
Rv1311,NaN
Rv3279c,0.0485323109645301
Rv0522,0.0485323109645301
Rv0223c,0.0485323109645301
Rv1589,0.0485323109645301
Rv0107c,0.0485323109645301
Rv1908c,0.0485270529998844
Rv1607,0.0485323109645301
Rv2849c,0.0485323109645301
Rv1383,5.31635392298184e-28
Rv1384,5.31635392298184e-28
Rv2289,0.0485323109645301
Rv1011,8.38950359434703e-30
Rv2612c,0
Rv3759c,0.0485323109645301
Rv3756c,0.0485323109645301
Rv3758c,0.0485323109645301
Rv3757c,0.0485323109645301
Rv1885c,0.0485323109645301
Rv0948c,0.0485323109645301
Rv2540c,0
Rv2949c,6.81925082723435e-31
Rv2130c,1.91910619060879e-11
Rv2498c,0.0485323109645301
Rv3075c,0.0485323109645301
Rv0464c,0.0485323109645301
Rv0771,0.0485323109645301
Rv1239c,0.0485323109645301
Rv2062c,0.0485323109645301
Rv0375c,0.0485323109645301
Rv0373c,0.0485323109645301
Rv0374c,0.0485323109645301
Rv2066,0.0485323109645301
Rv2071c,0.0485323109645301
Rv2072c,0.0485323109645301
Rv2070c,0.0485323109645301
Rv2065,0.0485323109645301
Rv2388c,0
Rv1131,0.0485323109645301
Rv0889c,0.0485323109645301
Rv0896,0.0485323109645301
Rv1699,2.75788390012904e-29
Rv3283,0.0485323109645301
Rv0390,0.0485323109645301
Rv2194,0
Rv2196,0
Rv2195,0
Rv3043c,0
Rv1451,0
Rv2200c,0
Rv2193,0
Rv0848,0.0485323109645303
Rv1336,0.0485323109645301
Rv2334,0.0485323109645301
Rv3340,0.0485323109645301
Rv0075,0.0485323109645301
Rv1077,0.0485323109645301
Rv1620c,0.0485323109645301
Rv1621c,0.0485323109645301
Rv1623c,0
Rv1622c,0
Rv3315c,0.0485323109645301
Rv1712,2.94999999531183e-28
Rv0143c,0.0485323109645301
Rv0103c,0.0485323109645301
Rv0092,0.0485323109645301
Rv0499,0.0485323109645301
Rv2252,0.0485323109645301
Rv1905c,0.0485323109645301
Rv1704c,0.0485323109645301
Rv1293,-2.22752937650833e-29
Rv2726c,0
Rv2881c,0
Rv2482c,0.0485323109645301
Rv1570,0.0485323109645301
Rv2136c,0
Rv3807c,0
Rv3791,0
Rv3790,0
Rv3806c,0
Rv0321,0.0485323109645301
Rv2178c,0
Rv3229c,0.0485323109645301
Rv1094,0.0485323109645301
Rv0824c,0.0485323109645301
Rv1714,0.0485323109645301
Rv1928c,0.0485323109645301
Rv1389,-2.84915195988351e-28
Rv0189c,3.97299156205164e-31
Rv2773c,0
Rv2753c,0
Rv2763c,0.0485323109645291
Rv2447c,3.39949891654984e-26
Rv0534c,0
Rv3607c,4.50942953996177e-26
Rv2139,1.09077811208876e-28
Rv1381,1.09077811208876e-28
Rv1409,0.0485323109645301
Rv1207,0.0485323109645301
Rv3608c,0.0485323109645301
Rv2537c,0
Rv2538c,0
Rv3398c,0
Rv1631,1.88695911027789e-14
Rv0478,0.0485323109645301
Rv3247c,-2.5357552373185e-29
Rv2697c,0.0485323109645301
Rv2870c,8.38950359434703e-30
Rv2682c,0.0485323109645301
Rv3379c,0.0485323109645301
Rv1023,0.0460773172036639
Rv3214,0.0485323109645301
Rv1618,0.0485323109645301
Rv3826,0.0485323109645301
Rv1529,0.0485323109645301
Rv1185c,0.0485323109645301
Rv2590,0.0485323109645301
Rv0099,0.0485323109645301
Rv2930,0.0485323109645301
Rv3801c,0
Rv1144,0.0485323109645301
Rv0860,0.0485323109645301
Rv0468,0.0485323109645301
Rv0859,0.0485323109645301
Rv1484,0
Rv2524c,0
Rv2947c,0
Rv1350,0
Rv0533c,0.0485323109645301
Rv1662,0.0485323109645301
Rv1663,0.0485323109645301
Rv2940c,0
Rv0363c,0.0136199910144689
Rv1099c,0.0485323109645301
Rv2131c,0.0485323109645298
Rv0727c,0.0485323109645301
Rv1485,0
Rv2605c,0.0485323109645301
Rv2899c,0.0485323109645301
Rv2900c,0.0485323109645301
Rv0087,0.0485323109645301
Rv1348,0
Rv1349,0
Rv0084,0.0485323109645289
Rv2786c,0
Rv2211c,0.0485323109645301
Rv1553,0.0485323109645301
Rv1554,0.0485323109645301
Rv1552,0.0485323109645301
Rv1555,0.0485323109645301
Rv0247c,0.0485323109645301
Rv0248c,0.0485323109645301
Rv3319,0.0485323109645301
Rv3318,0.0485323109645301
