genes,grRateKO
Rv1295,0
Rv2573,-2.91608172852044e-15
Rv3290c,0.0584003656763104
Rv2589,0.0584003656763104
Rv1323,0.0584003656763104
Rv3535c,0.0506394881636076
Rv0254c,0.0584003656763104
Rv3280,0
Rv0904c,0.0584003656763104
Rv3281,0
Rv3441c,0
Rv1302,0
Rv1654,-4.02948413471306e-27
Rv2747,0.0584003656763104
Rv1653,-4.02948413471306e-27
Rv0409,0.0583967511026762
Rv1820,0.0584003656763104
Rv3509c,0.0584003656763104
Rv3002c,0.0584003656763104
Rv3003c,0.0584003656763104
Rv3470c,0.0584003656763104
Rv2922A,0.0584003656763104
Rv1475c,9.40235097673697e-13
Rv1655,-4.02948413471306e-27
Rv3310,0.0584003656763104
Rv2523c,0.0584003656763104
Rv3667,0.0584003656763104
Rv3313c,0.0584003656763104
Rv0812,-1.79402763328394e-27
Rv2236c,0.0584003656763104
Rv1005c,-1.79402763328394e-27
Rv0013,-1.79402763328394e-27
Rv0255c,0.0584003656763104
Rv2848c,0.0584003656763104
Rv0733,2.15812858888993e-13
Rv1625c,0.0584003656763104
Rv2212,0.0584003656763104
Rv1900c,0.0584003656763104
Rv1264,0.0584003656763104
Rv1320c,0.0584003656763104
Rv1318c,0.0584003656763104
Rv1319c,0.0584003656763104
Rv3377c,0.0584003656763104
Rv2435c,0.0584003656763104
Rv1647,0.0584003656763104
Rv1120c,0.0584003656763104
Rv2202c,0.0583624507186795
Rv2208,0.0584003656763104
Rv2584c,0.0583907765038148
Rv1285,1.89939556741062e-12
Rv1286,2.21377482956377e-12
Rv0777,-2.50217695492635e-14
Rv0357c,3.72634275965484e-14
Rv3795,0
Rv3794,0
Rv3792,0
Rv3332,0.0584003656763104
Rv2182c,0.0584003656763104
Rv2483c,0.0584003656763104
Rv1652,-4.02948413471306e-27
Rv3248c,0
Rv0091,0.0584003656763104
Rv0423c,0
Rv0957,5.12517243147533e-16
Rv3276c,1.11011944097092e-14
Rv3257c,0.0584003656763104
Rv3275c,1.11011944097092e-14
Rv2215,0.0584003656763777
Rv3330,0.0584003656763104
Rv2981c,0
Rv2780,0.0584003656763104
Rv3423c,2.17259753434436e-30
Rv2259,0.0584003656763104
Rv1895,0.0584003656763104
Rv3045,0.0584003656763104
Rv2858c,0.0584003656763104
Rv0458,0.0584003656763104
Rv0768,0.0584003656763104
Rv0147,0.0584003656763104
Rv3293,0.0584003656763104
Rv1568,0.0584003656763104
Rv2363,0.0584003656763104
Rv2467,0.0584003656763104
Rv2192c,6.72623437651148e-31
Rv1609,6.72623437651148e-31
Rv1569,0.0584003656763104
Rv0032,0.0584003656763104
Rv2671,0.0584003656763104
Rv2531c,0.0584003656763104
Rv1001,0.0584003656763104
Rv1659,0
Rv1658,0
Rv2320c,0.0584003656763104
Rv3708c,0
Rv1538c,0.0399716569324393
Rv2201,0.0584003656763104
Rv0346c,0.0584003656763104
Rv2127,0.0584003656763104
Rv3601c,-2.91608172856389e-15
Rv1380,7.63756092650247e-29
Rv3709c,0
Rv1595,7.30936627648935e-12
Rv3565,-1.95366665006084e-29
Rv0337c,0.0444110121965391
Rv2121c,0
Rv1310,NaN
Rv1305,NaN
Rv1308,NaN
Rv1309,NaN
Rv1306,NaN
Rv1307,NaN
Rv1304,NaN
Rv1311,NaN
Rv3279c,0.0584003656763104
Rv0522,0.0584003656763104
Rv0223c,0.0584003656763104
Rv1589,0.0584003656763104
Rv0107c,0.0584003656763104
Rv1908c,0.0583940087399973
Rv1607,0.0584003656763104
Rv2849c,0.0584003656763104
Rv1383,-2.01474206735653e-27
Rv1384,-2.01474206735653e-27
Rv2289,0.0584003656763104
Rv1011,5.83831965797893e-30
Rv2612c,0
Rv3759c,0.0584003656763104
Rv3756c,0.0584003656763104
Rv3758c,0.0584003656763104
Rv3757c,0.0584003656763104
Rv1885c,0.0584003656763104
Rv0948c,0.0584003656763104
Rv2540c,0
Rv2949c,1.05627677344329e-28
Rv2130c,1.91910619060879e-11
Rv2498c,0.0584003656763104
Rv3075c,0.0584003656763104
Rv0464c,0.0584003656763104
Rv0771,0.0584003656763104
Rv1239c,0.0584003656763104
Rv2062c,0.0584003656763104
Rv0375c,0.0584003656763104
Rv0373c,0.0584003656763104
Rv0374c,0.0584003656763104
Rv2066,0.0584003656763104
Rv2071c,0.0584003656763104
Rv2072c,0.0584003656763104
Rv2070c,0.0584003656763104
Rv2065,0.0584003656763104
Rv2388c,0
Rv1131,0.0584003656763104
Rv0889c,0.0584003656763104
Rv0896,0.0584003656763104
Rv1699,1.1515399096408e-27
Rv3283,0.0584003656763104
Rv0390,0.0584003656763104
Rv2194,0
Rv2196,0
Rv2195,0
Rv3043c,0
Rv1451,0
Rv2200c,0
Rv2193,0
Rv0848,0.0584003656763113
Rv1336,0.0584003656763104
Rv2334,0.0584003656763104
Rv3340,0.0584003656763104
Rv0075,0.0584003656763104
Rv1077,0.0584003656763104
Rv1620c,0.0584003656763104
Rv1621c,0.0584003656763104
Rv1623c,0
Rv1622c,0
Rv3315c,0.0584003656763104
Rv1712,5.9213173224436e-29
Rv0143c,0.0584003656763104
Rv0103c,0.0584003656763104
Rv0092,0.0584003656763104
Rv0499,0.0584003656763104
Rv2252,0.0584003656763104
Rv1905c,0.0584003656763104
Rv1704c,0.0584003656763104
Rv1293,6.05307934614757e-30
Rv2726c,0
Rv2881c,0
Rv2482c,0.0584003656763104
Rv1570,0.0584003656763104
Rv2136c,0
Rv3807c,4.40027820906131e-30
Rv3791,4.40027820906131e-30
Rv3790,4.40027820906131e-30
Rv3806c,4.40027820906131e-30
Rv0321,0.0584003656763104
Rv2178c,0
Rv3229c,0.0584003656763104
Rv1094,0.0584003656763104
Rv0824c,0.0584003656763104
Rv1714,0.0584003656763104
Rv1928c,0.0584003656763104
Rv1389,-5.72395829458834e-15
Rv0189c,5.31568605108206e-29
Rv2773c,0
Rv2753c,0
Rv2763c,0.05840036567639
Rv2447c,4.68606004101821e-26
Rv0534c,0
Rv3607c,-3.91265696200345e-27
Rv2139,5.49117378088117e-29
Rv1381,7.63756092650247e-29
Rv1409,0.0584003656763095
Rv1207,0.0584003656763104
Rv3608c,0.0584003656763104
Rv2537c,0
Rv2538c,0
Rv3398c,0
Rv1631,-2.91608172852044e-15
Rv0478,0.0584003656763104
Rv3247c,-2.33690479505492e-30
Rv2697c,0.0584003656763104
Rv2870c,5.83831965797893e-30
Rv2682c,0.0584003656763104
Rv3379c,0.0584003656763104
Rv1023,0.0577932077672579
Rv3214,0.0584003656763104
Rv1618,0.0584003656763104
Rv3826,0.0584003656763104
Rv1529,0.0584003656763104
Rv1185c,0.0584003656763104
Rv2590,0.0584003656763104
Rv0099,0.0584003656763104
Rv2930,0.0584003656763104
Rv3801c,0
Rv1144,0.0584003656763104
Rv0860,0.0584003656763104
Rv0468,0.0584003656763104
Rv0859,0.0584003656763104
Rv1484,0
Rv2524c,0
Rv2947c,0
Rv1350,0
Rv0533c,0.0584003656763104
Rv1662,0.0584003656763104
Rv1663,0.0584003656763104
Rv2940c,0
Rv0363c,3.12434019499594e-13
Rv1099c,0.0584003656763104
Rv2131c,0.0584003656763096
